InvestigationID,ClaimID,Investigator,InvestigationStatus,FraudType,FraudConfirmed
FRD600000,CLM900018,N. Kohli (SIU),Closed,Provider Collusion,Confirmed
FRD600001,CLM900035,D. Pillai (SIU),Closed,Provider Collusion,Not Confirmed
FRD600002,CLM900042,S. Bhalla (SIU),Closed,Staged Accident,Not Confirmed
FRD600003,CLM900078,N. Kohli (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600004,CLM900095,N. Kohli (SIU),Closed,Fake Documents,Not Confirmed
FRD600005,CLM900097,A. Verma (SIU),Ongoing,False Death Claim,Under Review
FRD600006,CLM900107,A. Verma (SIU),Closed,Staged Accident,Confirmed
FRD600007,CLM900110,S. Bhalla (SIU),Ongoing,Fictitious Policy,Under Review
FRD600008,CLM900147,P. Acharya (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600009,CLM900158,A. Verma (SIU),Closed,Staged Accident,Not Confirmed
FRD600010,CLM900175,S. Bhalla (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600011,CLM900178,A. Verma (SIU),Closed,Fake Documents,Confirmed
FRD600012,CLM900203,A. Verma (SIU),Closed,False Death Claim,Confirmed
FRD600013,CLM900219,K. Joseph (SIU),Closed,Fictitious Policy,Confirmed
FRD600014,CLM900284,P. Acharya (SIU),Ongoing,Identity Theft,Under Review
FRD600015,CLM900304,N. Kohli (SIU),Closed,Fake Documents,Confirmed
FRD600016,CLM900322,D. Pillai (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600017,CLM900335,R. Menon (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600018,CLM900352,R. Menon (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600019,CLM900393,D. Pillai (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600020,CLM900417,S. Bhalla (SIU),Ongoing,Staged Accident,Under Review
FRD600021,CLM900448,P. Acharya (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600022,CLM900470,D. Pillai (SIU),Closed,Staged Accident,Not Confirmed
FRD600023,CLM900475,K. Joseph (SIU),Ongoing,Fake Documents,Under Review
FRD600024,CLM900480,P. Acharya (SIU),Closed,Staged Accident,Not Confirmed
FRD600025,CLM900483,K. Joseph (SIU),Closed,Staged Accident,Confirmed
FRD600026,CLM900485,S. Bhalla (SIU),Closed,Staged Accident,Not Confirmed
FRD600027,CLM900492,K. Joseph (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600028,CLM900539,K. Joseph (SIU),Ongoing,Fake Documents,Under Review
FRD600029,CLM900558,P. Acharya (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD600030,CLM900569,A. Verma (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600031,CLM900582,P. Acharya (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600032,CLM900629,P. Acharya (SIU),Closed,Fake Documents,Confirmed
FRD600033,CLM900649,M. Srinivasan (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600034,CLM900657,S. Bhalla (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD600035,CLM900663,S. Bhalla (SIU),Closed,Fake Documents,Not Confirmed
FRD600036,CLM900670,S. Bhalla (SIU),Closed,Provider Collusion,Not Confirmed
FRD600037,CLM900674,A. Verma (SIU),Closed,False Death Claim,Confirmed
FRD600038,CLM900686,N. Kohli (SIU),Closed,Fake Documents,Confirmed
FRD600039,CLM900701,N. Kohli (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600040,CLM900705,P. Acharya (SIU),Closed,Staged Accident,Confirmed
FRD600041,CLM900725,S. Bhalla (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600042,CLM900752,M. Srinivasan (SIU),Closed,Provider Collusion,Not Confirmed
FRD600043,CLM900764,M. Srinivasan (SIU),Closed,Provider Collusion,Confirmed
FRD600044,CLM900766,M. Srinivasan (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600045,CLM900806,M. Srinivasan (SIU),Closed,Fake Documents,Not Confirmed
FRD600046,CLM900824,S. Bhalla (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600047,CLM900841,K. Joseph (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600048,CLM900881,R. Menon (SIU),Closed,Identity Theft,Confirmed
FRD600049,CLM900888,K. Joseph (SIU),Ongoing,Provider Collusion,Under Review
FRD600050,CLM900893,S. Bhalla (SIU),Closed,Fictitious Policy,Confirmed
FRD600051,CLM900916,M. Srinivasan (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600052,CLM900970,A. Verma (SIU),Closed,Provider Collusion,Confirmed
FRD600053,CLM901020,K. Joseph (SIU),Closed,Fake Documents,Not Confirmed
FRD600054,CLM901033,R. Menon (SIU),Closed,Fake Documents,Confirmed
FRD600055,CLM901039,D. Pillai (SIU),Ongoing,Fake Documents,Under Review
FRD600056,CLM901054,R. Menon (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600057,CLM901073,P. Acharya (SIU),Closed,False Death Claim,Not Confirmed
FRD600058,CLM901081,P. Acharya (SIU),Closed,Fictitious Policy,Not Confirmed
FRD600059,CLM901115,A. Verma (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600060,CLM901133,K. Joseph (SIU),Closed,Fake Documents,Confirmed
FRD600061,CLM901145,A. Verma (SIU),Ongoing,Identity Theft,Under Review
FRD600062,CLM901160,S. Bhalla (SIU),Closed,Identity Theft,Not Confirmed
FRD600063,CLM901164,A. Verma (SIU),Closed,Staged Accident,Not Confirmed
FRD600064,CLM901185,R. Menon (SIU),Closed,Staged Accident,Confirmed
FRD600065,CLM901196,M. Srinivasan (SIU),Ongoing,Staged Accident,Under Review
FRD600066,CLM901202,P. Acharya (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600067,CLM901211,A. Verma (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD600068,CLM901223,M. Srinivasan (SIU),Closed,Fake Documents,Confirmed
FRD600069,CLM901239,D. Pillai (SIU),Closed,Staged Accident,Not Confirmed
FRD600070,CLM901247,D. Pillai (SIU),Closed,Identity Theft,Confirmed
FRD600071,CLM901283,A. Verma (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600072,CLM901289,M. Srinivasan (SIU),Closed,Fake Documents,Not Confirmed
FRD600073,CLM901324,P. Acharya (SIU),Closed,Fake Documents,Confirmed
FRD600074,CLM901353,M. Srinivasan (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600075,CLM901429,S. Bhalla (SIU),Closed,Fake Documents,Not Confirmed
FRD600076,CLM901437,R. Menon (SIU),Closed,Staged Accident,Confirmed
FRD600077,CLM901487,D. Pillai (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600078,CLM901490,A. Verma (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600079,CLM901547,R. Menon (SIU),Closed,Fake Documents,Not Confirmed
FRD600080,CLM901560,P. Acharya (SIU),Closed,Provider Collusion,Not Confirmed
FRD600081,CLM901608,K. Joseph (SIU),Ongoing,Fake Documents,Under Review
FRD600082,CLM901617,S. Bhalla (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600083,CLM901629,R. Menon (SIU),Ongoing,Fake Documents,Under Review
FRD600084,CLM901671,P. Acharya (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600085,CLM901688,S. Bhalla (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600086,CLM901718,M. Srinivasan (SIU),Closed,Fake Documents,Confirmed
FRD600087,CLM901756,P. Acharya (SIU),Ongoing,Fake Documents,Under Review
FRD600088,CLM901762,A. Verma (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600089,CLM901766,S. Bhalla (SIU),Ongoing,Fake Documents,Under Review
FRD600090,CLM901813,M. Srinivasan (SIU),Closed,Staged Accident,Not Confirmed
FRD600091,CLM901854,N. Kohli (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600092,CLM901878,P. Acharya (SIU),Ongoing,False Death Claim,Under Review
FRD600093,CLM901909,S. Bhalla (SIU),Closed,Fake Documents,Confirmed
FRD600094,CLM901913,K. Joseph (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600095,CLM901929,N. Kohli (SIU),Closed,Staged Accident,Confirmed
FRD600096,CLM901954,R. Menon (SIU),Closed,Identity Theft,Confirmed
FRD600097,CLM901955,M. Srinivasan (SIU),Ongoing,Staged Accident,Under Review
FRD600098,CLM901965,D. Pillai (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600099,CLM901992,R. Menon (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600100,CLM902009,M. Srinivasan (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600101,CLM902010,A. Verma (SIU),Ongoing,Provider Collusion,Under Review
FRD600102,CLM902014,M. Srinivasan (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600103,CLM902037,N. Kohli (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600104,CLM902053,K. Joseph (SIU),Closed,Staged Accident,Confirmed
FRD600105,CLM902070,M. Srinivasan (SIU),Ongoing,Staged Accident,Under Review
FRD600106,CLM902075,P. Acharya (SIU),Ongoing,Identity Theft,Under Review
FRD600107,CLM902167,M. Srinivasan (SIU),Closed,Identity Theft,Confirmed
FRD600108,CLM902169,M. Srinivasan (SIU),Closed,Fictitious Policy,Not Confirmed
FRD600109,CLM902185,K. Joseph (SIU),Closed,Fake Documents,Confirmed
FRD600110,CLM902204,D. Pillai (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600111,CLM902206,M. Srinivasan (SIU),Ongoing,Provider Collusion,Under Review
FRD600112,CLM902295,A. Verma (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600113,CLM902345,S. Bhalla (SIU),Closed,Fake Documents,Not Confirmed
FRD600114,CLM902349,R. Menon (SIU),Closed,Provider Collusion,Confirmed
FRD600115,CLM902351,P. Acharya (SIU),Closed,Staged Accident,Confirmed
FRD600116,CLM902359,D. Pillai (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD600117,CLM902383,N. Kohli (SIU),Closed,Identity Theft,Not Confirmed
FRD600118,CLM902385,S. Bhalla (SIU),Closed,False Death Claim,Not Confirmed
FRD600119,CLM902434,P. Acharya (SIU),Closed,Provider Collusion,Not Confirmed
FRD600120,CLM902451,P. Acharya (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600121,CLM902468,P. Acharya (SIU),Closed,Inflated Claim Amount,Not Confirmed
